★ Builder of Empires ★	Collect all Gold Treasures from Empire of Cats Ch. 1
★ Builder of Empires 2 ★	Collect all Gold Treasures from Empire of Cats Ch. 2
★ Builder of Empires 3 ★	Collect all Gold Treasures from Empire of Cats Ch. 3
★ Undead Slayer ★	Clear all Empire of Cats Ch. 1 Zombie Outbreak Stages
★ Undead Slayer 2 ★	Clear all Empire of Cats Ch. 2 Zombie Outbreak Stages
★ Undead Slayer 3 ★	Clear all Empire of Cats Ch. 3 Zombie Outbreak Stages
★ The Future Is Ours ★	Collect all Gold Treasures from Into the Future Ch. 1
★ The Future Is Ours 2 ★	Collect all Gold Treasures from Into the Future Ch. 2
★ The Future Is Ours 3 ★	Collect all Gold Treasures from Into the Future Ch. 3
★ ...And Stay Dead ★	Clear all Into the Future Ch. 1 Zombie Outbreak Stages
★ ...And Stay Dead 2 ★	Clear all Into the Future Ch. 2 Zombie Outbreak Stages
★ Cosmos Conquistador ★	Collect all Gold Treasures from Cats of the Cosmos Ch. 1
★ Cosmos Conquistador 2 ★	Collect all Gold Treasures from Cats of the Cosmos Ch. 2
★ Cosmos Conquistador 3 ★	Collect all Gold Treasures from Cats of the Cosmos Ch. 3
★ No More Worlds to Conquer? ★	Defeat Filibuster Obstructa.
★ I Am Legend ★	Clear All Level 1<br>Legend Stages
★ I Am Legend 2 ★	Clear All Level 2<br>Legend Stages
★ I Am Legend 3 ★	Clear All Level 3<br>Legend Stages
★ Red Horizon ★	Clear "Crimson Catastrophe"
★ Dark Skies ★	Clear "Heaven of Darkness"
★ White Winds ★	Clear "Peerless"
★ Holy Squall ★	Clear "Wrath of Heaven"
★ Storm of Steel ★	Clear "Sweet Irony"
★ Alien Weather ★	Clear "Dimension of Despair"
★ Perfect Threat ★	Clear "Red Sky at Morning"
★ Typhoon Z ★	Clear "The Rolling Dead"
★ Dimensional Rift ★	Clear "The 2nd Dimension"
★ Ancient Tempest ★	Clear "Typhoon Nemo"
★ Angel's Cruelty ★	Clear "Clionel Ascendant"
★ Charon's Crossing ★	Clear "River Styx"
★ Uncrowned ★	Clear "Queen's Coronation"
★ The Big Z ★	Clear "Daboo of the Dead"
★ Usurper ★	Clear "King Wahwah's Revenge"
★ Time to Wake Up ★	Clear "Deeply Dreaming"
★ Comet Celeb ★	Clear "Blue Impact"
★ Crazy Enough to Work ★	Clear all Crazed Stages.
★ Manic Episodes ★	Clear all Maniac Stages.
★ Your Own Size ★	Clear all Li'l Stages.
★ Another Year ★	Clear "Happy New Year...?"
★ Ritually Speaking ★	Clear "Ritual Happiness"
★ Unbearable ★	Clear "Bears Be Bare"
★ Young Love ★	Clear "Teacher! It's Spring!"
★ Ambition's End ★	Clear "Love is Sickness"
★ Man and Wife? ★	Clear "The Forbidden Bride"
★ Holidays in the Sun ★	Clear "Never Summer!"
★ Who You Gonna Call? ★	Clear "Ghostly Houseguests"
★ Respect Your Elders ★	Clear "Old Guys About Town"
★ Work Up a Sweat ★	Clear "Autumn = Sports Day"
★ On Strike ★	Clear "Loving Labour"
★ A Catsmas Miracle ★	Clear "Jingle Cat Bell"
★ Floor 30 ★	Clear the 30th floor of Heavenly Tower
★ Floor 40 ★	Clear the 40th floor of Heavenly Tower
★ A True Master ★	Complete the FINAL LEVEL of Legend Quest.
★ Making Money ★	Earn a total of 1000000 cents.
★ Making Money 2 ★	Earn a total of 5000000 cents.
★ Nouveau Riche ★	Earn a total of 10000000 cents.
★ Nouveau Riche 2 ★	Earn a total of 50000000 cents.
★ One Percenter ★	Earn a total of 100000000 cents.
★ One Percenter 2 ★	Earn a total of 200000000 cents.
★ World Traveller ★	Send Gamatoto to explore for over 1000 hours.
★ Innovator ★	Complete 5 Cat Base Weapons
★ Ranked ★	Reach User Rank 1000
★ May I Assist You? ★	Recruit an Assistant-grade Gamatoto helper.
★ Forest Child ★	Unlock Ururun Wolf
★ Tiny Nemesis ★	Unlock Li'l Nyandam
★ Under the Hood ★	Unlock Red Riding Mina
★ Ronin's Redemption ★	Unlock Miyamoku Musashi
★ Buns of Steel ★	Unlock Mecha-Bun
★ Heart of Clay ★	Unlock Dogumaru
★ Tormented ★	Clear "Courts of Torment"
★ Ancient Dynasty ★	Clear "The Old Queen"
★ Vox Deus ★	Clear "Papuu's Paradise"
★ Murky Details ★	Clear "Bottom of the Swamp"
★ Clan Urs ★	Unlock Urs & Fenrir
★ Frenzied Family ★	Clear "Clan of the Maniacs"
★ Cosmic Wanwan ★	Clear "Wanwan's Glory"
★ ...And Stay Dead 3 ★	Clear all Into the Future Ch. 3 Zombie Outbreak Stages
★ Angel of Undeath ★	Clear "Z-Onel Rises!"
★ Helping Out ★	Clear "First Errand"
★ Floor 50 ★	Clear the 50th floor of Heavenly Tower
★ Rites of Spring ★	Clear "Total War: Spring Special"
★ Song of Summer ★	Clear "Total War: Summer Special"
★ Feast of Fall ★	Clear "Total War: Fall Special"
★ Dance of Winter ★	Clear "Total War: Winter Special"
★ Year-Round ★	Clear all Total War season maps
★ I Am Legend 4 ★	Clear All Level 4<br>Legend Stages
★ Elder Annihilator ★	Defeat Idi:Re and clear her stage.
★ Road to Ruin ★	Clear "Prelude to Ruin"
★ Go With Doron ★	Unlock Elder Mask Doron
★ Storm of Evil ★	Clear "The Great Diablo"
★ World of Darkness ★	Clear all stages in "The Aku Realms"
★ Alluring Composition ★	Clear "Temptation's Symphony"
★ Lock the Gates ★	Clear "Rashomon"
★ Inferno 30 ★	Clear Floor 30 of the Infernal Tower
★ Dead Stars ★	Clear all Cats of the Cosmos Ch. 1 Zombie Outbreak Stages
★ Naala Problem ★	Unlock Elder Beast Naala