Aqua Crystal|Attacks against unstarred Aliens|are much more powerful!|
Plasma Crystal|Attacks against unstarred Aliens|are much more powerful!|
Ancient Tablet|Your Cat Base's defense|is increased.|
Mysterious Force|Cat Cannon recharge time|is decreased!|
Cosmic Energy|Cat Cannon attacks|are now more powerful!|
Void Fruit|Abilities used on Black enemies|are more effective!|
Blood Fruit|Abilities used on Red enemies|are more effective!|
Sky Fruit|Abilities used on Floating enemies|are more effective!|
Heaven's Fruit|Abilities used on Angel enemies|are more effective!|
Time Machine|Energy recovery speed is|increased!|
Future Tech|Maximum energy total|is increased!|
? ? ?|All required treasures are not|yet collected.|
? ? ?|Get all treasures to increase|attack power against Aliens!|
? ? ?|Get all treasures to increase|attack power against Aliens!|
? ? ?|Get all treasures to increase|Cat Base defense!|
? ? ?|Get all treasures to speed up|Cat Cannon recharge time!|
? ? ?|Get all treasures to increase|Cat Cannon attack power!|
? ? ?|Get all treasures to increase effect|of special attacks against Black!|
? ? ?|Get all treasures to increase effect|of special attacks against Red!|
? ? ?|Get all treasures to increase effect|of special attacks against Floating!|
? ? ?|Get all treasures to increase effect|of special attacks against Angels!|
? ? ?|Get all treasures to speed up|Energy recovery time!|
? ? ?|Get all treasures to increase|maximum Energy amount!|
